completion_year	title	road_class_or_number	status	realization_from	realization_to	lat	lon	cost_ex_vat	total_cost	source_dataset	source_url
2024	Oprava silnice III/36612 Smolná – Březina	Silnice III. třídy	Dokončeno	05/2024	06/2024	49.641617	16.632381	12 644 628 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Oprava silnice III/368 12 Anenská Studánka – křiž. I/43_SO opěrná zeď	Silnice III. třídy	Dokončeno	04/2022	09/2022	49.856503	16.52397		8 340 194 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Oprava silnice Libkov	Silnice III. třídy	Dokončeno	26.04.2021	30.05.2021	50.0	14.7	4485000		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnic III/32232 a III/32238 Třibřichy 	Silnice III. třídy	Dokončeno	06/2022	01/2023	49.96644	15.736902	8 044 917 Kč	10 238 920 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava vozovky III/33755 - Proseč - Hořelec, intravilán	Silnice III. třídy	Dokončeno	06/2024	07/2024	49.830296	15.6764345	5 289 798 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Orel II/358 zklidnění dopravy	II/358	Dokončeno	06/2024	10/2024	49.919483	15.837311	16 937 218 Kč	25 005 732 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Ostřešany III/34030 – I. etapa	Silnice III. třídy	Dokončeno	07/2024	11/2024	49.993206	15.805807	19 314 588 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Ostřešany III/340 30 II.etapa	Silnice III. třídy	Dokončeno	11. 8. 2025	4. 12. 2025	49.992134	15.819025	19 179 698 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	OŽK křiž. I/36 a II/355 ul. Dašická, Pardubice	II/355	Dokončeno	09/2023	11/2023	50.0338	15.796683	1 132 231 Kč	1 478 482 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Přeložka vodovodu u mostu ev.č.366 20-1 Jaroměřice	Silnice III. třídy	Dokončeno	2023	2023	49.61388	16.767372		3 775 629	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Propojení silnice D35 a I/35 Rokytno – Býšť	II/298	Dokončeno	09/2022	07/2024	50.10361	15.899309	207 338 021 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Propustek III/35846 Semanín	Silnice III. třídy	Dokončeno	07/2024	12/2024	49.86701	16.45463	14 035 864 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Propustek Klenovka III/342 16	Silnice III. třídy	Dokončeno	08/2025	11/2025	50.0	14.7	2 353 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Propustek silnice III/3389 Morašice	Silnice III. třídy	Dokončeno	07/2025	07/2025	50.00663	15.480805	3 599 400 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce mostu ev.č. 343-015 Kameničky	Silnice III. třídy	Dokončeno	04/2023	09/2023	49.738544	15.97564	18 274 660 Kč	23 737 877 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce opěrné zdi III/311 17 Třešňovec	Silnice III. třídy	Dokončeno	03/2023	08/2023	49.94405	16.598927	7 489 488 Kč	11 687 781 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Rekonstrukce silnice a chodníků III/31911 Žamberk - ul. Draha	Silnice III. třídy	Dokončeno	06/2024	11/2024	50.090607	16.471535	15 493 334 Kč	22 193 086 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Rekonstrukce silnice a mostů ev.č. 34039–1 a ev.č.34039–2 Mnětice	Silnice III. třídy	Dokončeno	06/2024	12/2024	50.01626	15.832144	22 974 300 Kč	44 690 223 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Rekonstrukce silnice II/211 Lázně Bohdaneč, průtah I. a II.etapa	II/211	Dokončeno	05.07.2021	25.09.2021	50.0	14.7		55 597 797 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Rekonstrukce silnice II/211 Lázně Bohdaneč, průtah III. a IV.etapa	II/211	Dokončeno	03/2022	06/2022	50.080856	15.673221	21 239 724 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce silnice II/298 Rokytno	II/298	Dokončeno	31. 3. 2023	10/2023	50.106915	15.893638	32 196 146 Kč	40 344 934 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Rekonstrukce silnice II/310 Letohrad - Žamberk, Lukavice - průtah	II/310	Dokončeno	09/2023	10/2024	50.073837	16.473515	63 555 783 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Rekonstrukce silnice II/322H Kojice – průtah	Silnice III. třídy	Dokončeno	08/2025	12/2025	50.04177	15.390567	16 798 400 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
